number,name,altitude,terrain_diff,physical_diff,length,url,region_id,lat,lng,volcano_rank,eruption_alert,hike_season_start,hike_season_end,maple_season_end,maple_season_start,snow_season_start,snow_season_end,remaining_snow_start,remaining_snow_end
59,薬師岳,2926,★★,★★,1泊2日,hundred_mt_individually_data/basic_data/basic_data-059.html,13,36.468862443009,137.5447896495,,,7月上旬,10月中旬,10月中旬,9月中旬,9月中旬,10月中旬,9月中旬,10月中旬
61,水晶岳,2978,★★,★★★,2泊3日,hundred_mt_individually_data/basic_data/basic_data-061.html,13,36.427104817069,137.60250188231,,,7月上旬,9月下旬,10月中旬,9月上旬,9月上旬,10月中旬,9月上旬,10月中旬
62,鷲羽岳,2924,★★,★★★,2泊3日,hundred_mt_individually_data/basic_data/basic_data-062.html,13,36.403029063661,137.60525937438,,,7月上旬,9月下旬,10月中旬,9月上旬,9月上旬,10月中旬,9月上旬,10月中旬
63,槍ヶ岳,3180,★★★,★★★,2泊3日,hundred_mt_individually_data/basic_data/basic_data-063.html,13,36.341997539802,137.64762785057,,,7月中旬,9月下旬,9月下旬,9月上旬,9月上旬,9月下旬,9月上旬,9月下旬
67,焼岳,2444,★★,★★,日帰り,hundred_mt_individually_data/basic_data/basic_data-067.html,13,36.226910750681,137.58710236907,,,5月下旬,10月下旬,10月下旬,9月上旬,9月上旬,10月下旬,9月上旬,10月下旬
68,乗鞍岳,3026,★,★,日帰り,hundred_mt_individually_data/basic_data/basic_data-068.html,13,36.106487090757,137.55363562305,,,7月上旬,10月下旬,9月下旬,9月上旬,9月上旬,9月下旬,9月上旬,9月下旬
69,美ヶ原,2034,★,★★,日帰り,hundred_mt_individually_data/basic_data/basic_data-069.html,14,36.225844963751,138.10746895638,,,5月上旬,11月上旬,10月下旬,9月中旬,9月中旬,10月下旬,9月中旬,10月下旬
71,蓼科山,2530,★,★★,1泊2日,hundred_mt_individually_data/basic_data/basic_data-071.html,16,36.103737091277,138.29507624475,,,7月中旬,10月上旬,10月中旬,9月中旬,9月中旬,10月中旬,9月中旬,10月中旬
72,八ヶ岳,2899,★★,★★,1泊2日,hundred_mt_individually_data/basic_data/basic_data-072.html,17,35.970768391182,138.37005478707,,,7月中旬,9月下旬,10月下旬,9月中旬,9月中旬,10月下旬,9月中旬,10月下旬
73,御嶽山,3067,★★,★★★,1泊2日,hundred_mt_individually_data/basic_data/basic_data-073.html,18,35.893112395466,137.48060901724,,,7月上旬,10月上旬,10月中旬,9月上旬,9月上旬,10月中旬,9月上旬,10月中旬
76,恵那山,2191,★,★★,日帰り,hundred_mt_individually_data/basic_data/basic_data-076.html,19,35.443025515147,137.59789678444,,,5月上旬,11月上旬,11月中旬,9月中旬,9月中旬,11月中旬,9月中旬,11月中旬
77,甲斐駒ヶ岳,2967,★★,★★,1泊2日,hundred_mt_individually_data/basic_data/basic_data-077.html,20,35.757896775387,138.2367706892,,,6月中旬,10月中旬,10月上旬,9月中旬,9月中旬,10月上旬,9月中旬,10月上旬
78,仙丈ヶ岳,3033,★★,★★,1泊2日,hundred_mt_individually_data/basic_data/basic_data-078.html,20,35.720066725079,138.18360784527,,,6月中旬,10月中旬,10月上旬,9月中旬,9月中旬,10月上旬,9月中旬,10月上旬
81,間ノ岳,3189,★★,★★★,2泊3日,hundred_mt_individually_data/basic_data/basic_data-081.html,20,35.646017732989,138.22834874739,,,7月中旬,10月上旬,10月上旬,9月中旬,9月中旬,10月上旬,9月中旬,10月上旬
82,塩見岳,3047,★★,★★★,2泊3日,hundred_mt_individually_data/basic_data/basic_data-082.html,20,35.573827652411,138.18311666274,,,7月上旬,9月中旬,10月中旬,9月中旬,9月中旬,10月中旬,9月中旬,10月中旬
83,悪沢岳,3141,★★,★★★,2泊3日,hundred_mt_individually_data/basic_data/basic_data-083.html,20,35.500719735714,138.18249673416,,,7月中旬,10月中旬,10月中旬,9月上旬,9月上旬,10月中旬,9月上旬,10月中旬
85,聖岳,3013,★★,★★★,3泊4日,hundred_mt_individually_data/basic_data/basic_data-085.html,20,35.422611720248,138.13969472094,,,7月上旬,10月下旬,10月中旬,9月上旬,9月上旬,10月中旬,9月上旬,10月中旬
88,荒島岳,1524,★★,★★★,日帰り,hundred_mt_individually_data/basic_data/basic_data-088.html,21,35.934282275144,136.60124673417,,,5月中旬,10月下旬,11月中旬,9月下旬,9月下旬,11月中旬,9月下旬,11月中旬
44,浅間山,2568,★,★★,前夜泊1日,hundred_mt_individually_data/basic_data/basic_data-044.html,9,36.406545604507,138.52295381882,,,6月下旬,10月下旬,10月中旬,9月中旬,9月中旬,10月中旬,9月中旬,10月中旬
47,金峰山,2595,★★,★★,前夜泊1日,hundred_mt_individually_data/basic_data/basic_data-047.html,11,35.87157746636,138.62547644845,,,5月下旬,11月下旬,10月下旬,10月上旬,10月上旬,10月下旬,10月上旬,10月下旬
92,大山,1709,★,★★,日帰り,hundred_mt_individually_data/basic_data/basic_data-092.html,23,35.371191953932,133.54629596962,,,5月上旬,11月中旬,10月下旬,10月上旬,10月上旬,10月下旬,10月上旬,10月下旬
93,剣山,1955,★,★★,日帰り,hundred_mt_individually_data/basic_data/basic_data-093.html,24,33.853608574649,134.09432374739,,,4月下旬,11月上旬,10月下旬,9月中旬,9月中旬,10月下旬,9月中旬,10月下旬
94,石鎚山,1982,★★,★★,日帰り,hundred_mt_individually_data/basic_data/basic_data-094.html,24,33.767757401065,133.11509138232,,,4月下旬,12月上旬,10月中旬,9月中旬,9月中旬,10月中旬,9月中旬,10月中旬
95,九重山,1787,★,★★,1泊2日,hundred_mt_individually_data/basic_data/basic_data-095.html,25,33.082211482608,131.24092604104,,,6月上旬,11月下旬,11月中旬,9月下旬,9月下旬,11月中旬,9月下旬,11月中旬
96,祖母山,1756,★★,★★★,日帰り,hundred_mt_individually_data/basic_data/basic_data-096.html,25,32.828108544604,131.3470800675,,,4月上旬,11月下旬,11月上旬,9月下旬,9月下旬,11月上旬,9月下旬,11月上旬
1,利尻岳,1719,★★,★★,前夜泊日帰り,hundred_mt_individually_data/basic_data/basic_data-001.html,2,45.178483772034,141.24201544314,,,6月中旬,9月中旬,10月上旬,9月上旬,9月上旬,10月上旬,9月上旬,10月上旬
9,後方羊蹄山,1893,★,★★,日帰り,hundred_mt_individually_data/basic_data/basic_data-009.html,2,42.828229798138,140.81117104634,,,6月下旬,9月下旬,9月中旬,8月下旬,8月下旬,9月中旬,8月下旬,9月中旬
41,高妻山,2353,★★,★★★,日帰り,hundred_mt_individually_data/basic_data/basic_data-041.html,9,36.800031918004,138.05195631618,,,6月中旬,10月下旬,10月中旬,9月中旬,9月中旬,10月中旬,9月中旬,10月中旬
53,天城山,1406,★,★★,前夜泊1日,hundred_mt_individually_data/basic_data/basic_data-053.html,12,34.862870739505,139.0017783347,,,4月上旬,11月下旬,11月上旬,10月中旬,10月中旬,11月上旬,10月中旬,11月上旬
87,白山,2702,★★,★★,1泊2日,hundred_mt_individually_data/basic_data/basic_data-087.html,21,36.155070414889,136.77149673417,,,7月上旬,10月上旬,9月下旬,8月中旬,8月中旬,9月下旬,8月中旬,9月下旬
97,阿蘇山,1592,★★,★★,日帰り,hundred_mt_individually_data/basic_data/basic_data-097.html,25,32.884318015989,131.10394500137,,,5月上旬,10月下旬,10月下旬,9月下旬,9月下旬,10月下旬,9月下旬,10月下旬
98,霧島山,1700,★,★★,日帰り,hundred_mt_individually_data/basic_data/basic_data-098.html,25,31.934193702483,130.86156492993,,,2月下旬,12月中旬,10月下旬,9月下旬,9月下旬,10月下旬,9月下旬,10月下旬
99,開聞岳,922,★,★,日帰り,hundred_mt_individually_data/basic_data/basic_data-099.html,25,31.180136757463,130.52835152517,,,通年,通年,11月下旬,10月下旬,10月下旬,11月下旬,10月下旬,11月下旬
100,宮之浦岳,1936,★★★,★★★,2泊3日,hundred_mt_individually_data/basic_data/basic_data-100.html,25,30.336089955404,130.50419117861,,,4月上旬,11月下旬,11月中旬,10月中旬,10月中旬,11月中旬,10月中旬,11月中旬
89,伊吹山,1377,★★,★★,日帰り,hundred_mt_individually_data/basic_data/basic_data-089.html,22,35.417879203875,136.4063818003,,,4月上旬,11月中旬,11月中旬,10月中旬,10月中旬,11月中旬,10月中旬,11月中旬
90,大台ヶ原山,1695,★,★,日帰り,hundred_mt_individually_data/basic_data/basic_data-090.html,22,34.185239750555,136.10921513363,,,4月下旬,11月中旬,10月下旬,9月上旬,9月上旬,10月下旬,9月上旬,10月下旬
91,大峰山,1915,★★,★★,1泊2日,hundred_mt_individually_data/basic_data/basic_data-091.html,22,34.173580806412,135.90755478707,,,4月中旬,11月下旬,10月下旬,9月上旬,9月上旬,10月下旬,9月上旬,10月下旬
